HVQ_036_LLKN_000001	Nhà Minh, sau khi diệt nhà Hồ, thắng Hậu Trần, lấy được Thuận Hóa (năm 1407), đặt quan cai trị An Nam, nào Hoàng Phúc, nào Trương Phụ... áp dụng một chính sách tàn khốc, mưu đồng hóa dân An Nam theo giống Tàu.
HVQ_036_LLKN_000002	Dân An Nam phẫn uất vô cùng: Nhiều nơi nổi dậy kháng Minh.
HVQ_036_LLKN_000003	Trịnh Công Chừng, Lê Hành ở Hạ Hồng (thuộc Hải Dương), Phạm Thiện ở Tân Ninh (thuộc Kiến An), Nguyễn Tri ở Khoái Châu (thuộc Hưng Yên), Nguyễn Đa Cấu, Trần Nhuế ở Hoàng Giang (thuộc Nam Định) ồ ạt kéo quân ngược sông Lô đánh vào Phù Liệt (một bên sông Nhị) trong lúc nhiều nơi khác cũng lẻ tẻ nổi lên.
HVQ_036_LLKN_000004	Nhưng đâu đấy đều thất bại!
HVQ_036_LLKN_000005	Hồi này, trong đất Lam Sơn (thuộc huyện Thụy Nguyên, phủ Thiệu Hóa, tỉnh Thanh Hóa) có một nông gia tính khí khẳng khái, nuôi chí diệt giặc Minh, rửa hờn cho dân tộc.
HVQ_036_LLKN_000006	Nông gia ấy là Lê Lợi.
HVQ_036_LLKN_000007	Nguyên tằng tổ Lê Lợi là Lê Hối, ở thôn Như Áng, huyện Lương Giang (Thanh Hóa) đi chơi thấy đất quanh núi Lam Sơn vừa rộng vừa tốt, mới dời nhà vào đấy.
HVQ_036_LLKN_000008	Lê Hối chăm nom dọn gai góc, mở ruộng nương để cày cấy.
HVQ_036_LLKN_000009	Ba năm sau gây thành sự nghiệp.
HVQ_036_LLKN_000010	Con cháu một ngày một đông, tôi tớ một ngày một nhiều.
HVQ_036_LLKN_000011	Đời sau, Lê Đinh (Hoàng tổ Lê Lợi) nối nghiệp cha, hiền hòa khoan nhân, gần xa đều mến phục.
HVQ_036_LLKN_000012	Dân cư tùy phục đã có tới hơn nghìn.
HVQ_036_LLKN_000013	Đến đời thứ 3 (Hoàng khảo Lê Lợi) Lê Khoáng cũng hiền lành, vui vẻ, chiêu đãi khách khứa, yêu thương dân chúng.
HVQ_036_LLKN_000014	Thế là đã 3 đời lập nghiệp tại Lam Sơn, làm chúa một phương.
HVQ_036_LLKN_000015	Khoáng sinh được 3 con, Lê Lợi là út.
HVQ_036_LLKN_000016	Anh mất sớm, Lê Lợi nối nghiệp cha anh, hậu đãi các tân khách, chiêu nạp hạng lưu vong.
HVQ_036_LLKN_000017	Ngoài ra Lê Lợi ham mê kinh sử, chuyên tâm về thao lược.
HVQ_036_LLKN_000018	Tuy nhiên quân Minh định ra danh mục, hãm hại hạng mưu trí, Lê Lợi giữ được bền lòng, mong đồ nghĩa cả.
HVQ_036_LLKN_000019	Lê Lợi thường nói: « Sinh ở đời, làm trai nên cứu nạn lớn, lập công to, để tiếng thơm muôn thuở.
HVQ_036_LLKN_000020	Há bo bo chịu kiếp nô lệ sao đang!
HVQ_036_LLKN_000021	» Song thấy thế giặc còn mạnh, Lê Lợi thường hậu lễ nhún lời, đem vàng bạc của báu đút lót cho các tướng Minh là bọn Trương Phụ, Trần Trí, Sơn Thọ, Mã Kỳ, mong chúng thư tâm hãm hại, để đợi thời hành động.
HVQ_036_LLKN_000022	Đảng của giặc là Lương Nhữ Hốt đã có lần bàn với giặc: « Chúa Lam Sơn chiêu vong nạp bạn, chí nó chẳng nhỏ.
HVQ_036_LLKN_000023	Nếu thuồng luồng gặp được mây mưa, tất không phải là vật ở ao đâu ».
